id,order
2,2
4,2
6,3
5,3
8,2
12,3
9,3
16,2
24,3
20,3
18,3
17,3
32,2
48,3
40,3
34,3
50,4
33,3
41,4
64,2
96,3
80,3
72,3
104,4
88,4
68,3
66,3
98,4
70,4
65,3
81,4
69,4
128,2
192,3
160,3
144,3
208,4
176,4
132,3
196,4
130,3
194,4
134,4
129,3
161,4
145,4
133,4
256,2
384,3
320,3
288,3
416,4
352,4
272,3
400,4
304,4
264,3
328,4
296,4
260,3
388,4
324,4
276,4
268,4
258,3
386,4
290,4
274,4
262,4
257,3
321,4
289,4
265,4
261,4
512,2
768,3
640,3
576,3
832,4
704,4
544,3
800,4
608,4
520,3
776,4
516,3
772,4
644,4
524,4
514,3
770,4
578,4
518,4
513,3
641,4
577,4
545,4
521,4
517,4
1024,2
1536,3
1280,3
1152,3
1664,4
1408,4
1088,3
1600,4
1216,4
1056,3
1568,4
1312,4
1184,4
1120,4
1040,3
1296,4
1104,4
1032,3
1544,4
1288,4
1064,4
1048,4
1028,3
1540,4
1284,4
1044,4
1036,4
1292,5
1026,3
1538,4
1154,4
1090,4
1602,5
1218,5
1058,4
1042,4
1030,4
1025,3
1281,4
1153,4
1089,4
1041,4
1033,4
1289,5
1029,4
2048,2
3072,3
2560,3
2304,3
3328,4
2816,4
2176,3
3200,4
2432,4
2112,3
3136,4
2624,4
2368,4
2240,4
2064,3
3088,4
2320,4
3344,5
2192,4
2056,3
3080,4
2568,4
2312,4
3336,5
2824,5
2120,4
2072,4
2052,3
3076,4
2564,4
2180,4
2116,4
2068,4
3092,5
2060,4
2572,5
2050,3
3074,4
2306,4
2178,4
3202,5
2434,5
2066,4
3090,5
2054,4
2182,5
2049,3
2561,4
2305,4
2177,4
2113,4
2625,5
2369,5
2065,4
2057,4
2569,5
2053,4
2181,5
2117,5
4096,2
6144,3
5120,3
4608,3
6656,4
5632,4
4352,3
6400,4
4864,4
4224,3
6272,4
5248,4
4736,4
4480,4
4160,3
6208,4
5184,4
4416,4
6464,5
4288,4
5312,5
4128,3
5152,4
4640,4
5664,5
4384,4
4256,4
4512,5
4112,3
6160,4
5136,4
4176,4
4144,4
4104,3
6152,4
5128,4
4616,4
6664,5
5640,5
4168,4
6216,5
4136,4
4120,4
5144,5
4184,5
4100,3
6148,4
5124,4
4356,4
4164,4
6212,5
4116,4
6164,5
4108,4
5132,5
4098,3
6146,4
4610,4
4354,4
6402,5
4866,5
4226,4
6274,5
4482,5
4162,4
4130,4
4114,4
6162,5
4146,5
4102,4
4358,5
4166,5
4097,3
5121,4
4609,4
4353,4
4225,4
5249,5
4737,5
4129,4
4641,5
4385,5
4113,4
5137,5
4105,4
5129,5
4137,5
4101,4
4357,5
8192,2
12288,3
10240,3
9216,3
13312,4
11264,4
8704,3
12800,4
9728,4
8448,3
12544,4
10496,4
9472,4
8960,4
8320,3
12416,4
10368,4
8832,4
12928,5
8576,4
10624,5
8224,3
12320,4
9248,4
13344,5
8480,4
12576,5
8208,3
12304,4
10256,4
9232,4
13328,5
11280,5
8336,4
10384,5
8240,4
8200,3
12296,4
10248,4
9224,4
13320,5
11272,5
8232,4
12328,5
9256,5
8216,4
10264,5
9240,5
8196,3
12292,4
10244,4
8708,4
8452,4
12548,5
8964,5
8324,4
10372,5
8836,5
8212,4
12308,5
8204,4
10252,5
8194,3
12290,4
9218,4
8706,4
12802,5
9730,5
8450,4
12546,5
8962,5
8226,4
12322,5
9250,5
8482,5
8210,4
12306,5
8242,5
8198,4
8710,5
8454,5
8193,3
10241,4
9217,4
8705,4
8449,4
10497,5
9473,5
8321,4
10369,5
8833,5
8225,4
8209,4
10257,5
9233,5
8337,5
8201,4
10249,5
8233,5
8197,4
8709,5
8453,5
8325,5
16384,2
24576,3
20480,3
18432,3
26624,4
22528,4
17408,3
25600,4
19456,4
16896,3
25088,4
20992,4
18944,4
17920,4
16640,3
24832,4
20736,4
17664,4
25856,5
17152,4
21248,5
16512,3
24704,4
20608,4
18560,4
26752,5
22656,5
17536,4
17024,4
25216,5
18048,5
16768,4
20864,5
17792,5
16448,3
20544,4
18496,4
22592,5
16960,4
16704,4
17216,5
16416,3
24608,4
20512,4
17440,4
25632,5
16928,4
21024,5
16544,4
17568,5
16480,4
16992,5
16400,3
24592,4
20496,4
18448,4
26640,5
22544,5
17424,4
25616,5
19472,5
16656,4
16528,4
24720,5
16784,5
16464,4
16432,4
20528,5
16560,5
16392,3
24584,4
20488,4
18440,4
26632,5
22536,5
16904,4
21000,5
18952,5
16648,4
16456,4
20552,5
16712,5
16424,4
24616,5
16488,5
16408,4
20504,5
18456,5
16472,5
16388,3
24580,4
20484,4
17412,4
16900,4
25092,5
17924,5
16516,4
24708,5
16452,4
20548,5
16404,4
24596,5
17428,5
16396,4
20492,5
16908,5
16386,3
24578,4
18434,4
17410,4
25602,5
19458,5
16898,4
25090,5
17922,5
16642,4
24834,5
17154,5
16514,4
18562,5
17538,5
16450,4
16418,4
24610,5
16482,5
16402,4
24594,5
17426,5
16658,5
16434,5
16390,4
17414,5
16902,5
16518,5
16454,5
16385,3
20481,4
18433,4
17409,4
16897,4
20993,5
18945,5
16641,4
20737,5
17665,5
16449,4
18497,5
16961,5
16417,4
20513,5
16401,4
20497,5
18449,5
16465,5
16393,4
20489,5
16905,5
16649,5
16425,5
16389,4
17413,5
16901,5
16453,5
32768,2
49152,3
40960,3
36864,3
53248,4
45056,4
34816,3
51200,4
38912,4
33792,3
50176,4
41984,4
37888,4
35840,4
33280,3
49664,4
41472,4
35328,4
51712,5
34304,4
42496,5
33024,3
49408,4
41216,4
